HF
cc-pVTZ
geom
Atom	X	Y	Z
C	0.0000000	0.7719440	0.0000000
C	0.0000000	-0.7719440	0.0000000
H	-1.0395330	1.0965940	0.0000000
H	1.0395330	-1.0965940	0.0000000
C	0.6686520	1.3564740	1.2479620
C	0.6686520	1.3564740	-1.2479620
C	-0.6686520	-1.3564740	1.2479620
C	-0.6686520	-1.3564740	-1.2479620
H	1.6917620	1.0034630	1.3416900
H	1.6917620	1.0034630	-1.3416900
H	-1.6917620	-1.0034630	1.3416900
H	-1.6917620	-1.0034630	-1.3416900
H	0.7003500	2.4383470	1.1889420
H	0.1434790	1.0988280	2.1574510
H	0.7003500	2.4383470	-1.1889420
H	0.1434790	1.0988280	-2.1574510
H	-0.7003500	-2.4383470	1.1889420
H	-0.1434790	-1.0988280	2.1574510
H	-0.7003500	-2.4383470	-1.1889420
H	-0.1434790	-1.0988280	-2.1574510
-------------------------------------------
