HF
cc-pVTZ
geom
Atom	X	Y	Z
C	-2.8048960	-0.9097630	-0.0448580
C	-1.6365780	0.0306250	-0.3417720
C	-0.3265490	-0.5590220	0.1943190
C	0.9426100	0.1936420	-0.1998830
C	2.2180430	-0.5079310	0.2605930
C	3.4881770	0.2432220	-0.1245010
C	-1.9261710	1.4280660	0.2081270
H	-3.7320090	-0.5252850	-0.4553210
H	-2.6367620	-1.8933840	-0.4691460
H	-2.9434790	-1.0307330	1.0254560
H	-1.5447870	0.1110730	-1.4231770
H	-0.3847700	-0.6216500	1.2794290
H	-0.2428750	-1.5825280	-0.1617980
H	0.9705460	0.3095650	-1.2812270
H	0.9271810	1.1967320	0.2141410
H	2.1881730	-0.6341200	1.3395470
H	2.2501640	-1.5087010	-0.1613010
H	4.3737630	-0.2813540	0.2156670
H	3.5644990	0.3568710	-1.2008800
H	3.5039100	1.2360530	0.3128790
H	-1.9895310	1.4111930	1.2924200
H	-1.1606460	2.1417540	-0.0683380
H	-2.8711950	1.8014820	-0.1704960
-------------------------------------------
