HF
cc-pVTZ
geom
Atom	X	Y	Z
C	0.0000000	0.0000000	0.3704410
H	0.0000000	0.0000000	1.4579130
C	0.0000000	1.4549190	-0.0957060
C	1.2599970	-0.7274590	-0.0957060
C	-1.2599970	-0.7274590	-0.0957060
H	0.0000000	1.5141760	-1.1801140
H	1.3113140	-0.7570880	-1.1801140
H	-1.3113140	-0.7570880	-1.1801140
H	0.8764420	1.9829340	0.2637470
H	-0.8764420	1.9829340	0.2637470
H	1.2790500	-1.7504880	0.2637470
H	2.1554920	-0.2324460	0.2637470
H	-2.1554920	-0.2324460	0.2637470
H	-1.2790500	-1.7504880	0.2637470
-------------------------------------------
