HF
cc-pVTZ
geom
Atom	X	Y	Z
C	-0.5693800	0.1421530	-0.2120150
H	-0.5862730	0.1153320	-1.3007650
C	-0.7704200	1.5950090	0.2249320
C	-1.6998700	-0.7675810	0.2885500
C	0.7862160	-0.4144680	0.2440140
C	-3.0876730	-0.4472850	-0.2615540
C	2.0164150	0.2653680	-0.3549470
C	3.3181740	-0.4248070	0.0415950
H	-0.7576480	1.6761230	1.3082960
H	0.0062980	2.2404680	-0.1639040
H	-1.7156310	1.9895410	-0.1247130
H	-1.7274820	-0.7347230	1.3753930
H	-1.4562230	-1.7920840	0.0242780
H	0.8253020	-1.4701180	-0.0110690
H	0.8440070	-0.3651730	1.3299320
H	-3.8056900	-1.1923510	0.0619220
H	-3.4498210	0.5165850	0.0733950
H	-3.0860370	-0.4423490	-1.3469200
H	2.0618000	1.3030830	-0.0444670
H	1.9302480	0.2727790	-1.4384800
H	4.1763030	0.0773020	-0.3905240
H	3.4460100	-0.4286720	1.1191270
H	3.3340630	-1.4560780	-0.2949520
-------------------------------------------
