HF
cc-pVTZ
geom
Atom	X	Y	Z
C	1.3913390	2.8960080	0.0000000
C	-1.3913390	-2.8960080	0.0000000
C	0.0000000	0.7629400	0.0000000
C	0.0000000	-0.7629400	0.0000000
C	-1.3997450	-1.3710110	0.0000000
C	1.3997450	1.3710110	0.0000000
H	-2.3993520	-3.2951290	0.0000000
H	2.3993520	3.2951290	0.0000000
H	0.8820860	3.2842250	0.8758610
H	0.8820860	3.2842250	-0.8758610
H	-0.8820860	-3.2842250	-0.8758610
H	-0.8820860	-3.2842250	0.8758610
H	1.9459320	1.0145260	-0.8691120
H	1.9459320	1.0145260	0.8691120
H	-1.9459320	-1.0145260	-0.8691120
H	-1.9459320	-1.0145260	0.8691120
H	-0.5453860	1.1222580	0.8696050
H	-0.5453860	1.1222580	-0.8696050
H	0.5453860	-1.1222580	-0.8696050
H	0.5453860	-1.1222580	0.8696050
-------------------------------------------
