HF
cc-pVTZ
geom
Atom	X	Y	Z
C	0.0000000	0.0000000	0.4925360
C	0.0000000	1.2759820	-0.3442430
C	0.0000000	-1.2759820	-0.3442430
C	0.0000000	2.5522260	0.4922930
C	0.0000000	-2.5522260	0.4922930
C	0.0000000	3.8230220	-0.3502530
C	0.0000000	-3.8230220	-0.3502530
H	-0.8695260	0.0000000	1.1459280
H	0.8695260	0.0000000	1.1459280
H	-0.8694840	1.2773560	-0.9977580
H	0.8694840	1.2773560	-0.9977580
H	0.8694840	-1.2773560	-0.9977580
H	-0.8694840	-1.2773560	-0.9977580
H	0.8690840	2.5534420	1.1448200
H	-0.8690840	2.5534420	1.1448200
H	-0.8690840	-2.5534420	1.1448200
H	0.8690840	-2.5534420	1.1448200
H	0.0000000	4.7094610	0.2741860
H	0.8757810	3.8690670	-0.9893150
H	-0.8757810	3.8690670	-0.9893150
H	0.0000000	-4.7094610	0.2741860
H	-0.8757810	-3.8690670	-0.9893150
H	0.8757810	-3.8690670	-0.9893150
-------------------------------------------
