HF
cc-pVTZ
geom
Atom	X	Y	Z
C	0.0004190	0.7630210	0.0000000
C	-0.0004190	-0.7630210	0.0000000
C	-1.3988550	1.3714790	0.0000000
C	1.3988550	-1.3714790	0.0000000
C	-1.3988550	2.8974510	0.0000000
C	1.3988550	-2.8974510	0.0000000
C	-2.8001520	3.4984740	0.0000000
C	2.8001520	-3.4984740	0.0000000
H	0.5468490	1.1211990	0.8694520
H	0.5468490	1.1211990	-0.8694520
H	-0.5468490	-1.1211990	0.8694520
H	-0.5468490	-1.1211990	-0.8694520
H	-1.9461640	1.0143520	-0.8694910
H	-1.9461640	1.0143520	0.8694910
H	1.9461640	-1.0143520	-0.8694910
H	1.9461640	-1.0143520	0.8694910
H	-0.8537670	3.2561630	0.8690820
H	-0.8537670	3.2561630	-0.8690820
H	0.8537670	-3.2561630	0.8690820
H	0.8537670	-3.2561630	-0.8690820
H	-2.7638830	4.5821730	0.0000000
H	-3.3598680	3.1866240	-0.8757790
H	-3.3598680	3.1866240	0.8757790
H	2.7638830	-4.5821730	0.0000000
H	3.3598680	-3.1866240	-0.8757790
H	3.3598680	-3.1866240	0.8757790
-------------------------------------------
