HF
cc-pVTZ
geom
Atom	X	Y	Z
C	0.0000000	0.0000000	0.3154150
C	0.0000000	1.2763740	-0.5209590
C	0.0000000	-1.2763740	-0.5209590
C	0.0000000	2.5470540	0.3225740
C	0.0000000	-2.5470540	0.3225740
H	0.8696150	0.0000000	0.9687540
H	-0.8696150	0.0000000	0.9687540
H	0.8691580	1.2775810	-1.1731530
H	-0.8691580	1.2775810	-1.1731530
H	-0.8691580	-1.2775810	-1.1731530
H	0.8691580	-1.2775810	-1.1731530
H	0.0000000	3.4335730	-0.3012780
H	0.0000000	-3.4335730	-0.3012780
H	-0.8757780	2.5925220	0.9614480
H	0.8757780	2.5925220	0.9614480
H	0.8757780	-2.5925220	0.9614480
H	-0.8757780	-2.5925220	0.9614480
-------------------------------------------
